"University","Men","Women"
"A&M-Corpus Christi",1530,1091
"Abilene Christian",1492,811
"Air Force",1269,505
"Akron",2016,479
"Alabama",10967,2803
"Alabama A&M",1576,1694
"Alabama St.",744,668
"Alcorn",2395,1075
"American",1011,336
"App State",2376,507
"Arizona",14115,7679
"Arizona St.",8071,2545
"Ark.-Pine Bluff",2970,1308
"Arkansas",19051,3767
"Arkansas St.",1793,1308
"Army West Point",996,1029
"Auburn",9121,2212
"Austin Peay",1404,737
"Ball St.",4152,1669
"Baylor",9473,4393
"Belmont",2186,933
"Bethune-Cookman",688,515
"Binghamton",2110,1334
"Boise St.",9526,846
"Boston College",5230,1040
"Boston U.",889,527
"Bowling Green",1932,1855
"Bradley",4947,841
"Brown",924,339
"Bryant",986,185
"Bucknell",1175,517
"Buffalo",2858,1433
"Butler",7918,872
"BYU",14117,1826
"Cal Poly",1675,980
"Cal St. Fullerton",928,197
"California",2155,1232
"California Baptist",3326,742
"Campbell",1303,1162
"Canisius",866,747
"Central Ark.",1334,382
"Central Conn. St.",851,232
"Central Mich.",1726,1355
"Charleston So.",641,206
"Charlotte",2985,837
"Chattanooga",3101,1272
"Chicago St.",160,95
"Cincinnati",9386,1013
"Clemson",6517,1229
"Cleveland St.",1890,503
"Coastal Carolina",1490,477
"Col. of Charleston",4631,270
"Colgate",956,425
"Colorado",6353,1660
"Colorado St.",4759,1701
"Columbia",1004,1308
"Coppin St.",1145,674
"Cornell",822,331
"Creighton",17163,1436
"CSU Bakersfield",1247,613
"CSUN",398,235
"Dartmouth",693,527
"Davidson",3356,600
"Dayton",13407,2574
"Delaware",2133,1460
"Delaware St.",1023,251
"Denver",1002,369
"DePaul",4045,1843
"Detroit Mercy",1772,252
"Drake",3429,2705
"Drexel",1438,648
"Duke",9314,2252
"Duquesne",2178,718
"East Carolina",4178,1289
"Eastern Ill.",1500,759
"Eastern Ky.",3533,524
"Eastern Mich.",3367,1789
"Eastern Wash.",1794,652
"Elon",1745,985
"ETSU",3126,940
"Evansville",4548,576
"Fairfield",2557,1011
"FDU",693,347
"FGCU",2367,1717
"FIU",1061,490
"Fla. Atlantic",2238,698
"Florida",8125,1414
"Florida A&M",1597,821
"Florida St.",6567,2405
"Fordham",1135,487
"Fresno St.",5062,1874
"Furman",2184,949
"Ga. Southern",1283,759
"Gardner-Webb",660,472
"George Mason",3584,1051
"George Washington",1608,358
"Georgetown",5442,877
"Georgia",8244,3025
"Georgia St.",1789,508
"Georgia Tech",4713,1671
"Gonzaga",6396,5016
"Grambling",1243,639
"Grand Canyon",6564,889
"Green Bay",1725,1819
"Hampton",899,205
"Hartford",347,191
"Harvard",1442,760
"Hawaii",5140,1525
"High Point",3334,859
"Hofstra",2352,413
"Holy Cross",1136,605
"Houston",7450,775
"Houston Christian",653,257
"Howard",1593,1254
"Idaho",1718,1399
"Idaho St.",1289,900
"Illinois",15091,3486
"Illinois St.",3509,1782
"Indiana",16101,8104
"Indiana St.",3866,1382
"Iona",2310,1140
"Iowa",12371,11143
"Iowa St.",13375,10323
"IUPUI",1157,498
"Jackson St.",1671,877
"Jacksonville",891,298
"Jacksonville St.",1986,900
"James Madison",4306,2216
"Kansas",16300,3481
"Kansas City",963,549
"Kansas St.",9596,3258
"Kennesaw St.",1681,640
"Kent St.",2167,1620
"Kentucky",19873,3695
"La Salle",1481,335
"Lafayette",1675,511
"Lamar",1853,1089
"Lehigh",905,564
"Liberty",3238,796
"Lipscomb",1919,611
"Little Rock",2656,2593
"LIU",346,159
"LMU (CA)",1201,316
"Long Beach St.",1638,620
"Longwood",1314,460
"Louisiana",3172,709
"Louisiana Tech",2512,1516
"Louisville",12497,8779
"Loyola Chicago",3373,709
"Loyola Maryland",802,394
"LSU",9318,8733
"Maine",846,1053
"Manhattan",881,391
"Marist",1037,1100
"Marquette",14328,1719
"Marshall",4656,784
"Maryland",14046,7132
"Massachusetts",3580,1362
"McNeese",1884,1611
"Memphis",11444,1014
"Mercer",1885,805
"Miami (FL)",5825,2119
"Miami (OH)",1847,601
"Michigan",11749,4145
"Michigan St.",14797,3691
"Middle Tenn.",3657,3559
"Milwaukee",1821,850
"Minnesota",9451,3353
"Mississippi St.",7674,5096
"Mississippi Val.",1525,1138
"Missouri",11571,3073
"Missouri St.",3300,2092
"Monmouth",1586,573
"Montana",3449,2746
"Montana St.",3272,2196
"Morehead St.",1800,676
"Morgan St.",1315,689
"Mount St. Mary's",1928,517
"Murray St.",5218,1198
"N.C. A&T",2561,952
"N.C. Central",1957,1043
"Navy",1574,762
"NC State",13253,5039
"Nebraska",13221,5761
"Nevada",7430,1282
"New Hampshire",653,338
"New Mexico",11411,4725
"New Mexico St.",4997,831
"New Orleans",1022,333
"Niagara",1029,483
"Nicholls",627,294
"NIU",902,524
"NJIT",447,409
"Norfolk St.",2143,960
"North Ala.",1408,923
"North Carolina",19890,3072
"North Dakota",1149,1342
"North Dakota St.",1953,839
"North Florida",1726,283
"North Texas",3609,1470
"Northeastern",942,322
"Northern Ariz.",741,383
"Northern Colo.",1336,877
"Northern Ky.",3103,1095
"Northwestern",4890,1320
"Northwestern St.",1447,659
"Notre Dame",6118,5124
"Oakland",2371,378
"Ohio",4755,934
"Ohio St.",12181,5955
"Oklahoma",7105,4415
"Oklahoma St.",7532,2966
"Old Dominion",5619,2443
"Ole Miss",6092,3000
"Omaha",2235,493
"Oral Roberts",5314,1822
"Oregon",5937,5658
"Oregon St.",3626,4297
"Pacific",1556,708
"Penn",2482,676
"Penn St.",7719,2276
"Pepperdine",929,181
"Pittsburgh",8194,916
"Portland",1622,720
"Portland St.",1084,415
"Prairie View",1070,395
"Presbyterian",423,338
"Princeton",2119,1129
"Providence",10608,474
"Purdue",14876,3981
"Purdue Fort Wayne",1449,500
"Quinnipiac",1289,689
"Radford",1509,739
"Rhode Island",5158,1397
"Rice",1882,693
"Richmond",6285,700
"Rider",1529,754
"Robert Morris",1144,367
"Rutgers",8220,1753
"Sacramento St.",750,519
"Sacred Heart",635,410
"Saint Francis (PA)",677,412
"Saint Joseph's",1504,474
"Saint Louis",7056,1164
"Saint Mary's (CA)",3197,488
"Saint Peter's",537,292
"Sam Houston",1641,613
"Samford",2506,357
"San Diego",1313,511
"San Diego St.",12261,1108
"San Francisco",2075,427
"San Jose St.",2182,491
"Santa Clara",1582,346
"Seattle U",1163,386
"Seton Hall",8977,872
"SFA",2654,1446
"Siena",6415,673
"SIUE",1245,533
"SMU",3916,683
"South Alabama",2315,445
"South Carolina",10470,12942
"South Carolina St.",520,401
"South Dakota",2029,1775
"South Dakota St.",2289,1709
"South Fla.",3142,3010
"Southeast Mo. St.",1580,656
"Southeastern La.",861,440
"Southern California",4160,1037
"Southern Ill.",5034,685
"Southern Miss.",3768,1800
"Southern U.",4521,2336
"Southern Utah",1945,586
"St. Bonaventure",3764,196
"St. Francis Brooklyn",222,165
"St. John's (NY)",7379,582
"Stanford",3518,4106
"Stetson",645,313
"Stony Brook",2177,728
"Syracuse",19102,2402
"TCU",6192,1713
"Temple",5107,1965
"Tennessee",18781,8150
"Tennessee St.",2792,1040
"Tennessee Tech",1215,1262
"Texas",10550,5794
"Texas A&M",9280,3395
"Texas Southern",2536,1000
"Texas St.",1876,914
"Texas Tech",13222,4923
"Toledo",4829,4178
"Towson",2252,749
"Troy",3036,2238
"Tulane",1188,617
"Tulsa",3972,1292
"UAB",3974,406
"Ualbany",1247,801
"UC Davis",1248,540
"UC Irvine",2551,688
"UC Riverside",706,164
"UC Santa Barbara",1966,399
"UCF",5274,2044
"UCLA",9276,3753
"Uconn",11446,10255
"UIC",1781,974
"UIW",351,266
"ULM",1807,1150
"UMass Lowell",899,649
"UMBC",1605,719
"UMES",845,327
"UNC Asheville",1474,486
"UNC Greensboro",1410,396
"UNCW",4048,788
"UNI",3426,2031
"UNLV",6063,2138
"USC Upstate",484,266
"UT Arlington",1449,882
"UT Martin",1534,1437
"Utah",6709,3628
"Utah St.",7604,501
"Utah Valley",2514,345
"UTEP",4552,998
"UTRGV",1407,793
"UTSA",1051,796
"Valparaiso",1625,353
"Vanderbilt",8106,2415
"VCU",7303,826
"Vermont",2366,949
"Villanova",9931,2541
"Virginia",14219,3489
"Virginia Tech",8431,3638
"Wagner",766,270
"Wake Forest",8331,1012
"Washington",6992,2348
"Washington St.",3341,902
"Weber St.",5149,425
"West Virginia",12004,2176
"Western Caro.",1797,540
"Western Ill.",719,550
"Western Ky.",4026,1012
"Western Mich.",1775,805
"Wichita St.",7137,1372
"William & Mary",2632,681
"Winthrop",1121,149
"Wisconsin",14151,3671
"Wofford",1268,593
"Wright St.",3686,948
"Wyoming",4207,2599
"Xavier",10286,753
"Yale",1274,424
"Youngstown St.",3053,1624
