"Date","Building","Contents","Profits"
1989-01-03,1.02286198,0.1329382,0.127011008
1989-01-11,0.67739204,0.296359,0.084674005
1989-01-14,2.20152413,0.508044,0.254022015
1989-01-15,1.16342083,0.05165114,0.055884843
1989-01-17,0.42337003,2.54022,1.270110076
1989-01-19,2.54022015,0.1591871,0.211685013
1989-01-20,4.23370025,16.9348,3.386960203
1989-01-24,0.61388654,0.4360711,0.16934801
1989-01-26,1.27011008,3.132938,0.423370025
1989-02-02,1.10076207,0.2447079,0.177815411
1989-02-02,0.84674005,1.439458,0.397967824
1989-02-14,6.98560542,33.59695,1.508890771
1989-03-06,0.19898391,0.762066,0.16934801
1989-03-17,1.6934801,0.2286198,0.254022015
1989-03-23,8.46740051,9.009314,3.386960203
1989-03-23,1.27011008,0.5986452,0.025402202
1989-04-23,3.81033023,0.1828959,0.423370025
1989-04-26,1.6934801,8.467401,4.233700254
1989-05-11,3.04826418,6.07282,1.016088061
1989-05-15,2.28619814,1.354784,0.16934801
1989-05-23,1.27011008,1.27011,0.423370025
1989-05-25,2.54022015,0.4250635,0.372565622
1989-06-05,0.27519052,0.635055,0.211685013
1989-06-13,0.71972904,0.3471634,0.101608806
1989-06-13,2.11685013,4.2337,0.423370025
1989-06-17,3.06096528,0.42337,1.016088061
1989-06-17,1.70533446,0.254022,0.254022015
1989-06-23,0.25402202,1.524132,0.423370025
1989-07-10,1.30143946,0.7171888,0.113463167
1989-07-10,1.45639289,0.03725656,0.076206605
1989-07-13,0.99491956,0.1033023,0.154953429
1989-07-18,1.45639289,0.1574936,0.296359018
1989-07-22,1.6934801,0.592718,0.254022015
1989-07-23,1.62404742,0.2709568,0.592718036
1989-07-25,1.05842506,0.0338696,0.010160881
1989-07-28,4.23370025,7.493649,1.074513124
1989-08-03,0.51481795,0.338696,0.931414056
1989-08-04,5.0804403,8.467401,2.540220152
1989-08-05,1.10076207,0.254022,0.084674005
1989-08-05,0.59017782,1.27011,1.270110076
1989-08-08,2.07451312,0.5419136,0.16088061
1989-08-23,0.42337003,0.4360711,0.198983912
1989-08-23,0.37256562,0.5588484,0.186282811
1989-08-25,0.76206605,0.254022,0.084674005
1989-08-26,1.01608806,0.4301439,0.074513124
1989-08-28,2.11685013,1.27011,1.270110076
1989-09-04,0.42337003,0.42337,0.423370025
1989-09-04,2.65029636,0.784928,0.33869602
1989-09-11,4.9957663,1.185436,3.217612193
1989-09-14,1.28281118,3.640982,0.846740051
1989-09-18,1.31244708,0.2709568,0.296359018
1989-09-25,2.54022015,2.11685,0.592718036
1989-09-25,1.31244708,0.1718882,0.081287045
1989-09-27,0.76206605,0.8467401,1.312447079
1989-09-28,1.27011008,0.127011,0.381033023
1989-09-29,3.3869602,5.92718,2.370872142
1989-10-02,1.33784928,0.3022862,0.093141406
1989-10-07,0.94834886,0.08806097,0.139712108
1989-10-20,1.6934801,4.2337,0.084674005
1989-10-23,1.27011008,1.69348,7.620660457
1989-11-10,1.6934801,2.11685,1.058425064
1989-11-14,16.93480102,1.185436,0.50804403
1989-11-19,1.6934801,0.0254022,0.118543607
1989-11-29,1.6934801,2.11685,0.846740051
1989-12-05,1.27011008,0.234547,0.381033023
1989-12-06,0.97375106,0.1685013,0.16934801
1989-12-15,1.57239627,0.05249788,0.101608806
1989-12-18,1.86367485,0.508044,0.084674005
1989-12-19,2.03217612,0.400508,0.254022015
1990-01-12,0.76320132,0.330033,0.041254125
1990-01-13,1.15511551,0.03465347,0.139438944
1990-01-20,0.20627063,0.7013201,0.165016502
1990-01-24,0.82508251,0.06270627,0.206270627
1990-01-25,2.51650165,0.08828383,0.012376238
1990-01-26,1.40264026,0.4224422,0.165016502
1990-01-26,1.32013201,0.5726073,0.094884488
1990-01-31,3.05280528,0.1278878,0.198019802
1990-02-08,2.80528053,0.8250825,0.495049505
1990-02-20,0.45214521,3.211221,0.412541254
1990-02-22,0.82508251,2.475248,0.412541254
1990-03-07,1.28712871,0.320132,0.082508251
1990-03-15,0.81683168,0.1650165,0.082508251
1990-03-17,0.18564356,0.7425743,0.495049505
1990-03-22,0.82508251,0.7879538,0.123762376
1990-03-23,4.71947195,5.288779,0.99009901
1990-03-25,0.90759076,0.1526403,0.024752475
1990-04-02,0.18151815,0.7425743,0.082508251
1990-04-03,1.32013201,0.3349835,0.247524752
1990-04-09,0.73019802,0.799505,0.206270627
1990-04-20,0.59240924,0.3481848,0.165016502
1990-04-30,1.32013201,1.650165,0.618811881
1990-05-03,1.65016502,2.392739,0.495049505
1990-05-04,2.31023102,0.2417492,0.123762376
1990-05-07,0.90759076,0.3473597,0.020627063
1990-05-18,2.80528053,0.4315182,0.618811881
1990-05-25,0.74257426,0.8250825,1.237623762
1990-05-26,3.71287129,1.280528,0.618811881
1990-06-07,0.61881188,0.4315182,0.020627063
1990-06-11,1.07260726,0.8250825,0.165016502
1990-06-14,0.70132013,0.2623762,0.053630363
1990-06-15,4.55858086,9.90099,0.825082508
1990-06-18,0.330033,2.887789,1.320132013
1990-07-05,1.73267327,0.1650165,0.412541254
1990-07-05,2.76980198,3.157591,0.445544554
1990-07-10,0.99009901,0.07508251,0.04950495
1990-07-10,1.73267327,0.05528053,0.082508251
1990-07-13,1.56765677,0.4125413,0.082508251
1990-07-15,1.01072607,0.5775578,0.082508251
1990-07-15,1.09735974,0.1633663,0.057755776
1990-07-16,0.43316832,0.480198,0.202145215
1990-07-19,1.73267327,0.990099,1.567656766
1990-07-20,2.55775578,0.3424092,0.082508251
1990-07-21,1.07260726,5.775578,1.237623762
1990-07-21,1.11386139,1.237624,0.825082508
1990-07-22,0.08250825,0.8787129,0.693069307
1990-07-24,1.44389439,0.2739274,0.445544554
1990-07-28,1.44389439,0.03135314,0.008250825
1990-07-28,1.20627063,0.3745875,0.241749175
1990-07-29,2.22772277,3.547855,0.424917492
1990-08-02,0.58250825,2.264851,1.4669967
1990-08-04,2.07920792,0.2046205,0.123762376
1990-08-06,0.85808581,0.09405941,0.412541254
1990-08-10,0.81270627,0.1105611,0.082508251
1990-08-11,0.82508251,1.237624,0.082508251
1990-08-13,0.66419142,0.990099,0.247524752
1990-08-13,1.17986799,0.1988449,0.082508251
1990-08-14,5.28052805,12.28218,3.264026403
1990-08-14,2.12046205,0.2953795,0.346534653
1990-08-18,0.330033,0.6229373,0.693069307
1990-08-19,1.56765677,0.1617162,0.041254125
1990-08-21,1.23762376,0.3712871,0.371287129
1990-08-22,0.10313531,0.7590759,0.457920792
1990-08-30,1.04785479,0.4438944,0.061881188
1990-09-27,0.84158416,0.06188119,0.107260726
1990-09-30,0.82508251,0.1650165,0.288778878
1990-10-01,0.43316832,0.330033,0.25990099
1990-10-01,0.57755776,2.227723,1.897689769
1990-10-03,1.32013201,0.3052805,0.412541254
1990-10-08,11.69554455,132.0132,0.948844884
1990-10-10,8.91089109,15.18152,4.537953795
1990-10-12,1.98019802,12.29373,4.991749175
1990-10-12,2.06270627,1.40264,2.062706271
1990-11-07,1.36138614,0.4009901,0.577557756
1990-11-10,1.44389439,0.3712871,0.123762376
1990-11-11,0.1650165,0.7425743,0.330033003
1990-11-15,2.03217822,0.3349835,0.186468647
1990-11-29,0.10726073,2.475248,0.825082508
1990-11-30,0.66006601,0.4950495,0.012376238
1990-12-05,1.03135314,0.4290429,0.012376238
1990-12-09,1.23762376,0.3465347,1.056105611
1990-12-09,1.32013201,0.1988449,0.082508251
1990-12-14,1.23762376,2.310231,0.825082508
1990-12-16,0.90759076,0.06188119,0.214521452
1990-12-17,2.31023102,0.330033,0.330033003
1990-12-20,0.82508251,0.2062706,0.099009901
1990-12-30,2.06270627,2.392739,0.412541254
